"uid","gene_name","alias","desc","id","gene_id","group","expression","GENENAME","GO"
"100037453","KASII-B","GLYMA_13G112700","plastid 3-keto-acyl-ACP synthase II-B",75104,"MSTRG.25349","t40","down",NA,NA
"100037478","SACPD-C","GLYMA_14G121400, FAB2.3","stearoyl-ACP desaturase",84260,"MSTRG.28545","t40","down",NA,NA
"100170736","LOC100170736","","(S)-2-hydroxy-acid oxidase GLO1",43519,"MSTRG.14836","t40","down",NA,NA
"100233234","LOC100233234","GLYMA_10G180600, GmCRY2a1, GmCRY2a2","cryptochrome 2",59092,"MSTRG.19975","t40","down",NA,NA
"100305687","LOC100305687","GLYMA_08G217700","uncharacterized LOC100305687",46090,"MSTRG.15792","t40","down",NA,NA
"100305716","LOC100305716","GLYMA_08G082100","uncharacterized LOC100305716",43202,"MSTRG.14720","t40","down",NA,NA
"100305732","LOC100305732","GLYMA_03G242900","superoxide dismutase [Cu-Zn]",16900,"MSTRG.5763","t40","down",NA,NA
"100305771","LOC100305771","GLYMA_13G301400","uncharacterized LOC100305771",79118,"MSTRG.26861","t40","down",NA,NA
"100305798","LOC100305798","GLYMA_09G239000","uncharacterized LOC100305798",54049,"MSTRG.18365","t40","down",NA,NA
"100305823","LOC100305823","GLYMA_06G298600","uncharacterized LOC100305823",35000,"MSTRG.11867","t40","down",NA,NA
"100306069","LOC100306069","GLYMA_06G111500","uncharacterized LOC100306069",31143,"MSTRG.10651","t40","down",NA,NA
"100306092","LOC100306092","GLYMA_07G018000, GmTIP2;3, GmTIP2;5, TIP2-3","aquaporin TIP2-3",36010,"MSTRG.12215","t40","down",NA,NA
"100306279","LOC100306279","GLYMA_01G209400","40S ribosomal protein S30",4568,"MSTRG.1528","t40","down",NA,NA
"100306301","LOC100306301","GLYMA_19G211800","60S ribosomal protein L18",112213,"MSTRG.37900","t40","down",NA,NA
"100306305","LOC100306305","GLYMA_06G064200","60S ribosomal protein L39",30085,"MSTRG.10254","t40","down",NA,NA
"100306384","LOC100306384","GLYMA_03G125800","uncharacterized LOC100306384",14430,"MSTRG.4841","t40","down",NA,NA
"100306475","LOC100306475","GLYMA_17G109000","uncharacterized LOC100306475",98424,"MSTRG.33380","t40","down",NA,NA
"100306476","LOC100306476","GLYMA_14G008500","uncharacterized LOC100306476",80912,"MSTRG.27515","t40","down",NA,NA
"100306523","LOC100306523","GLYMA_02G034600","uncharacterized LOC100306523",6069,"MSTRG.2098","t40","down",NA,NA
"100306608","LOC100306608","GLYMA_13G282200","uncharacterized LOC100306608",78776,"MSTRG.26712","t40","down",NA,NA
"100306624","LOC100306624","GLYMA_13G133900","uncharacterized LOC100306624",75565,"MSTRG.25519","t40","down",NA,NA
"100306683","LOC100306683","GLYMA_17G117200","uncharacterized LOC100306683",98598,"MSTRG.33448","t40","down",NA,NA
"100306699","LOC100306699","GLYMA_10G039900","uncharacterized LOC100306699",55915,"MSTRG.19062","t40","down",NA,NA
"100499761","LOC100499761","GLYMA_11G209200","uncharacterized LOC100499761",118902,"MSTRG.40154","t40","down",NA,NA
"100499784","LOC100499784","GLYMA_05G146800","60S ribosomal protein L17-2",26538,"MSTRG.8914","t40","down",NA,NA
"100499804","LOC100499804","GLYMA_02G067400","uncharacterized LOC100499804",6776,"MSTRG.2362","t40","down",NA,NA
"100499826","LOC100499826","GLYMA_15G071900","uncharacterized LOC100499826",87341,"MSTRG.29616","t40","down",NA,NA
"100499915","LOC100499915","GLYMA_03G222100","nitrogen regulatory P-II-like protein",16443,"MSTRG.5595","t40","down",NA,NA
"100499916","LOC100499916","GLYMA_15G098500","acyl carrier protein 1, chloroplastic",87875,"MSTRG.29798","t40","down",NA,NA
"100499916","LOC100499916","GLYMA_15G098500","acyl carrier protein 1, chloroplastic",87876,"MSTRG.29798","t40","down",NA,NA
"100499922","LOC100499922","GLYMA_10G224200","40S ribosomal protein S18",60058,"MSTRG.20326","t40","down",NA,NA
