"...1","t_id","t_name","num_exons","length","gene_id","gene_name","ctr_rep1+1","ctr_rep2+1","ctr_rep3+1","average control+1","t20_rep1+1","t20_rep2+1","t20_rep3+1","average t20+1","t40_rep1+1","t40_rep2+1","t40_rep3+1","average t40+1","FC average t20/control","log2FC t20","pvalue t20","FC average t40","log2FCt40","pvalue t49"
68348,68348,"rna-NM_001251444.1",2,483,"MSTRG.23312","GRP",280.975494,386.068817,330.708435,332.5842487,198.915863,1.025249,184.809982,128.2503647,1.0417,1.030952,1.03522,1.035957333,0.385617675,-1.374756915,0.044373819,0.003114872,-8.326611448,0.000398885
23377,23377,"rna-XM_003524489.5",4,553,"MSTRG.7963","LOC100779051",71.911606,84.439995,103.725731,86.692444,1.074241,15.435761,25.45118,13.98706067,4.210077,1.592469,1.337811,2.380119,0.161341174,-2.631813436,0.00335658,0.027454746,-5.186800644,0.000819895
49021,49021,"MSTRG.16688.3",4,777,"MSTRG.16688",".",22.152122,88.653137,76.184502,62.32992033,1,57.439907,56.328102,38.256003,2.985108,1,1.679387,1.888165,0.613766275,-0.70423872,0.432822216,0.030293076,-5.044868121,0.041540124
17643,17643,"MSTRG.6048.2",3,899,"MSTRG.6048",".",18.394588,30.078506,24.517244,24.33011267,1,1,1,1,1,1,1,1,0.04110133,-4.604671111,0.002295545,0.04110133,-4.604671096,0.002295545
2415,2415,"rna-XM_006573254.3",14,2913,"MSTRG.769","LOC100803911",51.962132,45.057396,31.890863,42.97013033,1.850867,1.446081,5.131536,2.809494667,1.771091,1.63473,2.192098,1.865973,0.065382503,-3.934951582,0.002594417,0.043424886,-4.525334137,0.002216967
43202,43202,"rna-NM_001248769.2",7,658,"MSTRG.14720","LOC100305716",42.466423,34.66396,72.808495,49.979626,30.353792,4.48183,8.543126,14.45958267,1,4.760923,1,2.253641,0.289309541,-1.789314193,0.065894393,0.045091194,-4.471010485,0.015117192
62912,62912,"rna-NM_001249513.2",1,586,"MSTRG.21415","LOC100527721",38.417667,23.986183,37.670135,33.357995,1.078206,6.134755,4.689863,3.967608,2.711902,1,1.27084,1.660914,0.118940242,-3.071691179,0.003963273,0.049790582,-4.327983298,0.002561635
112189,112189,"MSTRG.37888.2",7,935,"MSTRG.37888",".",159.364746,165.091599,157.813507,160.7566173,43.638752,108.420158,69.013535,73.690815,11.974235,12.258614,1,8.410949667,0.458399886,-1.12532141,0.010120441,0.052321017,-4.256465613,3.84775e-06
588,588,"MSTRG.256.3",2,731,"MSTRG.256",".",66.783424,39.728798,47.567585,51.35993567,55.239151,30.039669,38.361031,41.21328367,1,6.877117,1,2.959039,0.802440329,-0.31753398,0.405922875,0.05761376,-4.117442779,0.004256495
84260,84260,"rna-NM_001249462.2",2,1849,"MSTRG.28545","SACPD-C",56.881298,54.984905,85.066696,65.64429967,3.94274,20.298239,20.771128,15.00403567,6.478491,2.639616,2.562309,3.893472,0.228565706,-2.129319137,0.010613409,0.059311654,-4.075540582,0.003257262
