"number","t_id","t_name","num_exons","length","gene_id","gene_name","ctr_rep1+1","ctr_rep2+1","ctr_rep3+1","average control+1","t20_rep1+1","t20_rep2+1","t20_rep3+1","average t20+1","t40_rep1+1","t40_rep2+1","t40_rep3+1","average t40+1","FC average t20/control","log2FC t20","pvalue t20","FC average t40","log2FCt40","pvalue t40"
11154,11154,"MSTRG.3822.6",16,2156,"MSTRG.3822",".",1,1,1,1,26.90633,16.644042,23.307549,22.28597367,1,43.311825,40.790131,28.36731867,22.28597367,4.478064088,0.002099848,28.36731867,4.826157886,0.005639048
2412,2412,"MSTRG.769.4",14,2864,"MSTRG.769",".",3.327666,2.527272,3.929709,3.261549,87.081848,45.943775,62.124535,65.05005267,74.036789,89.441513,85.952255,83.143519,19.94452718,4.317921017,0.006693368,25.49203431,4.671974602,0.050214965
18500,18500,"rna-XM_003522221.5",19,3087,"MSTRG.6394","LOC100811437",1.097727,1.055628,1.161681,1.105012,23.352253,14.732544,23.384363,20.48972,25.307554,11.645387,15.732933,17.561958,18.54253166,4.212766327,0.002534194,15.89300207,3.990319759,3.97e-05
26998,26998,"rna-XM_003524958.4",1,1610,"MSTRG.9103","LOC100813636",1.011066,1.007384,1.004388,1.007612667,17.052286,17.984913,19.469328,18.16884233,11.141665,11.088208,12.1369,11.455591,18.03157397,4.17245343,1.68e-05,11.36904227,3.507038821,0.003518082
74485,74485,"MSTRG.25145.3",8,3657,"MSTRG.25145",".",2.241792,1.837046,1.985841,2.021559667,34.931194,27.781591,33.371246,32.02801033,60.351845,32.673103,31.256035,41.42699433,15.84321792,3.985793486,0.000159593,20.49259045,4.357030461,0.020916007
54505,54505,"MSTRG.18541.6",17,2482,"MSTRG.18541",".",1,1,1,1,21.665314,10.341301,12.306855,14.77115667,22.406256,2.763596,21.449677,15.539843,14.77115667,3.884710897,0.016931663,15.539843,3.957900023,0.001527627
4553,4553,"MSTRG.1521.11",19,6856,"MSTRG.1521",".",1,1,1,1,13.999611,13.80369,16.222913,14.67540467,14.771149,4.263316,2.276598,7.103687667,14.67540467,3.875328381,6.08e-05,7.103687667,2.828568151,0.123651579
24923,24923,"MSTRG.8473.5",6,2555,"MSTRG.8473",".",1.0052,1,2.876148,1.627116,22.675133,12.582435,34.205807,23.15445833,15.519138,11.629301,1,9.382813,14.23036731,3.830900996,0.026557925,5.76652986,2.527703406,0.168216907
22314,22314,"rna-XM_003523252.5",1,720,"MSTRG.7530","LOC100820369",2.179668,2.624059,4.530619,3.111448667,49.528473,16.061128,58.295124,41.29490833,12.57924,16.812393,27.263201,18.88494467,13.27192339,3.730305559,0.041446262,6.069502245,2.601578207,0.015555113
44869,44869,"rna-XM_003531409.5",1,712,"MSTRG.15338","LOC100305767",2.873414,3.051626,2.356758,2.760599333,47.577602,12.869899,42.783405,34.410302,35.117802,79.53727,80.816391,65.15715433,12.464794,3.639787135,0.043497823,23.60253933,4.560870178,0.072694685
82897,82897,"rna-XM_003544505.5",10,1859,"MSTRG.28235","LOC100784972",3.505925,2.334239,4.698706,3.512956667,55.830986,22.219748,52.06926,43.37333133,67.599464,37.911121,50.802715,52.10443333,12.34667417,3.62605057,0.020099128,14.83207402,3.890648444,0.055638481
112557,112557,"MSTRG.38054.1",2,980,"MSTRG.38054",".",33.912098,1.716628,1,12.20957533,104.136429,200.412292,112.234398,138.9277063,1,1,1.801041,1.267013667,11.37858628,3.508249418,0.01788854,0.103772132,-3.26850903,0.54993505
