"number","t_id","t_name","num_exons","length","gene_id","gene_name","ctr_rep1+1","ctr_rep2+1","ctr_rep3+1","average control+1","t20_rep1+1","t20_rep2+1","t20_rep3+1","average t20+1","t40_rep1+1","t40_rep2+1","t40_rep3+1","average t40+1","FC average t20/control","log2FC t20","pvalue t20","FC average t40","log2FCt40","pvalue t40"
77704,77704,"MSTRG.26312.1",1,348,"MSTRG.26312",".",57.472767,24.639429,22.107809,34.74000167,1.131693,1.034023,1.095332,1.087016,1.867234,34.630951,3.618577,13.372254,0.031290039,-4.998152733,0.041776362,0.384923816,-1.37735516,0.073660075
17643,17643,"MSTRG.6048.2",3,899,"MSTRG.6048",".",18.394588,30.078506,24.517244,24.33011267,1,1,1,1,1,1,1,1,0.04110133,-4.604671111,0.002295545,0.04110133,-4.604671096,0.002218316
2415,2415,"rna-XM_006573254.3",14,2913,"MSTRG.769","LOC100803911",51.962132,45.057396,31.890863,42.97013033,1.850867,1.446081,5.131536,2.809494667,1.771091,1.63473,2.192098,1.865973,0.065382503,-3.934951582,0.002594417,0.043424886,-4.525334137,0.002167485
95210,95210,"rna-NM_001367066.1",1,1637,"MSTRG.32138","IF7GT3",124.207405,47.401321,76.629204,82.74597667,4.036308,8.615848,4.249668,5.633941333,4.665985,33.255634,13.935328,17.285649,0.068087194,-3.876472712,0.026350441,0.208900175,-2.259114394,0.034680539
118978,118978,"MSTRG.40165.44",2,3394,"MSTRG.40165",".",8.887287,14.082363,15.875595,12.948415,1,1,1,1,1,1,1,1,0.07722953,-3.694703598,0.00467604,0.07722953,-3.694703605,0.004431601
12248,12248,"rna-XM_041014336.1",1,720,"MSTRG.4233","LOC121174643",12.439193,13.288421,15.876836,13.86815,1.20898,1.219747,1.196263,1.20833,1.526868,1.59531,6.720326,3.280834667,0.087129862,-3.520688932,0.000255393,0.236573347,-2.079640548,0.008481188
63621,63621,"rna-NM_001250439.2",1,854,"MSTRG.21723","LOC100306090",19.849628,9.762534,6.762971,12.12504433,1.000492,1.261324,1.004275,1.088697,1.047589,1.000586,9.633726,3.893967,0.089789115,-3.47731563,0.049433822,0.321150743,-1.638677459,0.191621383
50770,50770,"rna-XM_006586979.3",8,975,"MSTRG.17324","LOC100794894",21.886841,19.289476,9.591322,16.92254633,2.647611,1.140331,1.390005,1.725982333,1.306245,1.504402,25.020933,9.277193333,0.101993063,-3.293457063,0.015728156,0.548214976,-0.867186355,0.541382523
83476,83476,"rna-XM_006596072.4",2,2153,"MSTRG.28364","LOC100790297",9.649415,11.556965,8.743292,9.983224,1.066504,1.043803,1.057711,1.056006,1.062293,10.011586,9.902667,6.992182,0.105778053,-3.240887769,0.000422104,0.70039318,-0.51376306,0.226237432
56842,56842,"rna-XM_006588814.4",4,2630,"MSTRG.19358","LOC100796676",29.663782,16.811542,11.861311,19.445545,2.26501,1.735057,2.212751,2.070939333,2.813438,20.202562,14.313338,12.44311267,0.106499424,-3.231082467,0.030691877,0.639895291,-0.644092246,0.204549838
28775,28775,"MSTRG.9753.4",6,1107,"MSTRG.9753",".",22.030464,18.100344,5.975998,15.36893533,1,1.525489,2.469012,1.664833667,2.725279,8.080746,3.213386,4.673137,0.108324593,-3.206567279,0.04757534,0.304063808,-1.717553989,0.064463755
32734,32734,"rna-XM_006581861.4",12,3510,"MSTRG.11240","BOR2",18.486429,12.756936,13.165869,14.803078,2.247748,1.368922,1.271096,1.629255333,3.824488,1.615734,22.866211,9.435477667,0.11006193,-3.183612562,0.002146305,0.637399713,-0.649729726,0.591077282
62912,62912,"rna-NM_001249513.2",1,586,"MSTRG.21415","LOC100527721",38.417667,23.986183,37.670135,33.357995,1.078206,6.134755,4.689863,3.967608,2.711902,1,1.27084,1.660914,0.118940242,-3.071691179,0.003963273,0.049790582,-4.327983298,0.002362834
45226,45226,"rna-XM_003532906.4",1,1195,"MSTRG.15473","LOC100775553",80.194649,49.158012,35.246021,54.86622733,4.408094,16.087859,2.301566,7.599173,6.274594,135.491302,39.937195,60.567697,0.138503655,-2.852004047,0.027637592,1.103915832,0.142630178,0.390498504
24420,24420,"MSTRG.8345.1",3,854,"MSTRG.8345",".",11.177267,11.8606,7.294265,10.11071067,2.283239,1,1,1.427746333,12.567864,1,1,4.855954667,0.141211274,-2.82407282,0.004266001,0.480278274,-1.058057548,0.01620516
37091,37091,"MSTRG.12607.2",7,2516,"MSTRG.12607",".",9.460789,6.54259,14.298504,10.10062767,1.543756,1.551781,1.220721,1.438752667,1.639799,7.76703,4.076111,4.494313333,0.142441907,-2.811554439,0.018691633,0.444953866,-1.168272333,0.053379533
69688,69688,"rna-XM_041007489.1",6,2031,"MSTRG.23780","LOC100798340",16.261177,17.880161,6.884458,13.67526533,1.892717,1.583775,2.741351,2.072614333,11.508451,11.832209,8.827097,10.72258567,0.151559351,-2.722045228,0.028092565,0.784086115,-0.350915982,0.207015091
23377,23377,"rna-XM_003524489.5",4,553,"MSTRG.7963","LOC100779051",71.911606,84.439995,103.725731,86.692444,1.074241,15.435761,25.45118,13.98706067,4.210077,1.592469,1.337811,2.380119,0.161341174,-2.631813436,0.00335658,0.027454746,-5.186800644,0.000772984
15558,15558,"rna-NM_001255569.2",4,638,"MSTRG.5231","LOC100776345",204.834122,240.644669,301.368988,248.9492597,115.190956,3.779246,7.438111,42.13610433,91.498306,6.26272,120.476334,72.74578667,0.169255793,-2.562722882,0.010973076,0.292211299,-1.774916129,0.014760131
28772,28772,"MSTRG.9753.1",5,1460,"MSTRG.9753",".",11.635715,9.219938,4.198294,8.351315667,1.274934,1.576608,1.438552,1.430031333,1.294424,2.417144,1.62152,1.777696,0.171234257,-2.54595674,0.034275986,0.212864185,-2.231994865,0.033420387
68102,68102,"rna-XM_003540733.5",9,2025,"MSTRG.23223","LOC100807371",9.703262,9.47814,6.074305,8.418569,1.522216,1.424514,1.427839,1.458189667,10.216414,1.508363,11.782586,7.835787667,0.173211108,-2.529396642,0.004060741,0.9307743,-0.103496719,0.639924338
92035,92035,"rna-XM_014768508.3",2,1141,"MSTRG.31113","LOC100802677",5.342868,6.327351,4.493013,5.387744,1,1,1,1,1,4.821221,10.341153,5.387458,0.185606443,-2.429681303,0.001161965,0.999946917,-7.66e-05,0.979109139
4548,4548,"rna-XM_006573656.4",17,7034,"MSTRG.1521","LOC100792961",5.30003,7.111293,3.591498,5.334273667,1.012577,1.01781,1.015608,1.015331667,1.052861,5.298779,3.402931,3.251523667,0.190341128,-2.393340769,0.013158118,0.609553216,-0.714175917,0.104515753
98595,98595,"rna-NM_001253073.2",4,620,"MSTRG.33446","LOC100820292",17.052553,19.18754,30.518028,22.252707,1.976946,5.988365,5.012078,4.325796333,5.599003,1.956183,2.752307,3.435831,0.194394162,-2.362943202,0.014592435,0.154400586,-2.695249867,0.009394138
40046,40046,"rna-XR_001389249.2",2,582,"MSTRG.13519","LOC106799481",9.787079,8.586301,15.2442,11.20586,1,4.557584,1.063273,2.206952333,1,1,1,1,0.19694627,-2.344126001,0.018941515,0.089239023,-3.486181468,0.007134507
98598,98598,"rna-NM_001251756.2",4,602,"MSTRG.33448","LOC100306683",62.920048,109.366104,91.817314,88.03448867,3.168123,28.905479,20.81493,17.62951067,10.932576,7.685456,6.379625,8.332552333,0.200256864,-2.320076402,0.010542065,0.094650999,-3.401238451,0.003797522
15631,15631,"rna-NM_001249023.2",4,817,"MSTRG.5257","LOC100305477",44.277706,25.666914,36.007515,35.31737833,8.386379,3.986895,9.033031,7.135435,43.9832,12.84969,10.025092,22.285994,0.202037505,-2.307304964,0.00737684,0.631020621,-0.664240944,0.042801347
31651,31651,"rna-NM_001255215.2",2,885,"MSTRG.10846","LOC100798019",27.256556,28.597794,14.867215,23.573855,4.429464,4.567897,5.372694,4.790018333,5.581147,18.529501,11.110462,11.74037,0.203191983,-2.299084614,0.012764661,0.498025037,-1.005709824,0.050817145
115944,115944,"rna-XM_003555893.5",9,2224,"MSTRG.39108","LOC100794625",15.44922,11.123278,8.046482,11.53966,2.241281,2.851499,2.023247,2.372009,2.601642,18.234228,17.766397,12.86742233,0.205552763,-2.28241933,0.013246557,1.115060784,0.157122357,0.834623285
43192,43192,"MSTRG.14717.2",4,1639,"MSTRG.14717",".",10.428895,6.319008,6.153562,7.633821667,2.12078,1.621605,1.000034,1.580806333,2.300021,1.856239,1,1.718753333,0.207079285,-2.271744853,0.013511725,0.225149788,-2.151042973,0.010454495
