"...1","t_id","t_name","num_exons","length","gene_id","gene_name","ctr_rep1+1","ctr_rep2+1","ctr_rep3+1","average control+1","t20_rep1+1","t20_rep2+1","t20_rep3+1","average t20+1","t40_rep1+1","t40_rep2+1","t40_rep3+1","average t40+1","FC average t20/control","log2FC t20","pvalue t20","FC average t40","log2FCt40","pvalue t49"
2412,2412,"MSTRG.769.4",14,2864,"MSTRG.769",".",3.327666,2.527272,3.929709,3.261549,87.081848,45.943775,62.124535,65.05005267,74.036789,89.441513,85.952255,83.143519,19.94452718,4.317921017,0.006693368,25.49203431,4.671974602,6.92e-05
18500,18500,"rna-XM_003522221.5",19,3087,"MSTRG.6394","LOC100811437",1.097727,1.055628,1.161681,1.105012,23.352253,14.732544,23.384363,20.48972,25.307554,11.645387,15.732933,17.561958,18.54253166,4.212766327,0.002534194,15.89300207,3.990319759,0.015288653
26998,26998,"rna-XM_003524958.4",1,1610,"MSTRG.9103","LOC100813636",1.011066,1.007384,1.004388,1.007612667,17.052286,17.984913,19.469328,18.16884233,11.141665,11.088208,12.1369,11.455591,18.03157397,4.17245343,1.68e-05,11.36904227,3.507038821,6.76e-06
74485,74485,"MSTRG.25145.3",8,3657,"MSTRG.25145",".",2.241792,1.837046,1.985841,2.021559667,34.931194,27.781591,33.371246,32.02801033,60.351845,32.673103,31.256035,41.42699433,15.84321792,3.985793486,0.000159593,20.49259045,4.357030461,0.014142868
22314,22314,"rna-XM_003523252.5",1,720,"MSTRG.7530","LOC100820369",2.179668,2.624059,4.530619,3.111448667,49.528473,16.061128,58.295124,41.29490833,12.57924,16.812393,27.263201,18.88494467,13.27192339,3.730305559,0.041446262,6.069502245,2.601578207,0.023452812
44869,44869,"rna-XM_003531409.5",1,712,"MSTRG.15338","LOC100305767",2.873414,3.051626,2.356758,2.760599333,47.577602,12.869899,42.783405,34.410302,35.117802,79.53727,80.816391,65.15715433,12.464794,3.639787135,0.043497823,23.60253933,4.560870178,0.014229478
82897,82897,"rna-XM_003544505.5",10,1859,"MSTRG.28235","LOC100784972",3.505925,2.334239,4.698706,3.512956667,55.830986,22.219748,52.06926,43.37333133,67.599464,37.911121,50.802715,52.10443333,12.34667417,3.62605057,0.020099128,14.83207402,3.890648444,0.004878397
17848,17848,"rna-NM_001250161.3",1,1291,"MSTRG.6126","41640",1.63249,1.315642,1.962304,1.636812,23.409241,6.440811,24.878122,18.24272467,31.519644,64.63345,71.157951,55.77034833,11.14527793,3.478360688,0.048540207,34.07254366,5.09053775,0.011590914
43067,43067,"rna-NM_001254697.2",1,803,"MSTRG.14668","LOC100784637",2.83209,3.391003,1.784761,2.669284667,25.324661,11.201537,37.612156,24.71278467,29.115698,67.876297,58.380875,51.79095667,9.258205007,3.210732509,0.044855474,19.40256029,4.278175132,0.013609493
31765,31765,"rna-XM_003526733.5",1,934,"MSTRG.10891","LOC100813653",4.205768,3.942799,16.040475,8.063014,75.549263,33.363182,114.544388,74.485611,32.584896,24.248165,36.659771,31.16427733,9.237936459,3.207570623,0.049139362,3.865090316,1.950502126,0.01294118
