"number","t_id","t_name","num_exons","length","gene_id","gene_name","ctr_rep1+1","ctr_rep2+1","ctr_rep3+1","average control+1","t20_rep1+1","t20_rep2+1","t20_rep3+1","average t20+1","t40_rep1+1","t40_rep2+1","t40_rep3+1","average t40+1","FC average t20/control","log2FC t20","pvalue t20","FC average t40","log2FCt40","pvalue t40"
64538,64538,"MSTRG.22092.1",5,805,"MSTRG.22092",".",1,1.003863,1,1.001287667,1,322.169525,1,108.0565083,118.134216,99.897827,76.103279,98.04510733,107.9175465,6.753785644,0.37390613,97.91902024,6.613517218,0.000585662
63046,63046,"rna-XR_416669.3",2,1408,"MSTRG.21467","LOC100819812",1.530044,1.04268,2.404468,1.659064,184.765228,2.369544,5.051212,64.06199467,3.874637,223.430511,172.218903,133.1746837,38.61333539,5.271027273,0.359599933,80.2709743,6.326806503,0.046437578
61559,61559,"MSTRG.20900.2",2,500,"MSTRG.20900",".",1,1,1,1,1,114.985146,72.747192,62.91077933,110.050812,29.689381,84.634308,74.79150033,62.91077933,5.975235329,0.136266683,74.79150033,6.224802419,0.000311192
28023,28023,"rna-XM_003525301.5",3,1883,"MSTRG.9470","LOC100815760",1.485543,1.227896,1.441617,1.385018667,47.278587,9.744512,42.366779,33.12995933,47.783085,75.105431,96.316429,73.068315,23.92022586,4.580159107,0.054368277,52.75619509,5.721268612,0.04178181
118610,118610,"MSTRG.40078.2",4,3680,"MSTRG.40078",".",1.128392,1.884735,1.435352,1.482826333,1.449067,1.328208,172.886978,58.554751,153.303024,1.475794,59.62817,71.468996,39.48861015,5.303364686,0.374612168,48.19781954,5.590895975,0.004051033
36497,36497,"MSTRG.12376.4",2,886,"MSTRG.12376",".",1,1,1,1,85.85051,20.550047,11.774872,39.39180967,74.28878,1,35.227459,36.83874633,39.39180967,5.299823791,0.175730191,36.83874633,5.20315206,7.53e-06
97220,97220,"rna-XM_003549156.5",1,1917,"MSTRG.32927","LOC100804277",1,1.089467,1.205592,1.098353,19.41342,4.613128,23.677608,15.90138533,21.588137,39.978405,57.887638,39.81806,14.47748159,3.855738757,0.062481814,36.25251627,5.18000923,0.044881152
22371,22371,"rna-XM_026128299.2",1,474,"MSTRG.7559","LOC113001461",1.272096,1.272054,1.509877,1.351342333,18.889429,6.177995,36.016563,20.361329,27.528461,49.12513,52.670387,43.10799267,15.06748401,3.913366629,0.092770924,31.90012746,4.995490283,0.034356905
11154,11154,"MSTRG.3822.6",16,2156,"MSTRG.3822",".",1,1,1,1,26.90633,16.644042,23.307549,22.28597367,1,43.311825,40.790131,28.36731867,22.28597367,4.478064088,0.002099848,28.36731867,4.826157886,0.005639048
92973,92973,"MSTRG.31488.30",5,1083,"MSTRG.31488",".",1,1,1,1,17.060083,1.00277,10.997815,9.686889333,35.551414,29.969376,16.545315,27.35536833,9.686889333,3.27603346,0.137098167,27.35536833,4.773752076,0.030533381
85408,85408,"rna-XM_003544928.5",1,1787,"MSTRG.28903","LOC100795913",1.40882,1.216326,1.840519,1.488555,31.844954,4.041317,26.253992,20.713421,25.158222,40.523636,52.092281,39.25804633,13.9151197,3.798581414,0.086331355,26.37325885,4.721003946,0.040129908
6511,6511,"MSTRG.2272.2",2,652,"MSTRG.2272",".",1,1,1,1,55.483547,7.628486,54.773666,39.295233,51.615921,1,16.275764,22.963895,39.295233,5.296282401,0.072886114,22.963895,4.521295459,0.021152091
80743,80743,"MSTRG.27449.1",9,2731,"MSTRG.27449",".",1,1,1,1,23.055321,1,1,8.351773667,24.960789,23.149248,18.475952,22.19532967,8.351773667,3.062082615,0.373900966,22.19532967,4.472184232,0.020676007
15465,15465,"rna-NM_001248734.2",1,816,"MSTRG.5200","LOC100526897",1.10537,1,1.032909,1.046093,8.618165,2.986599,17.243729,9.616164333,11.691864,27.720358,28.194319,22.53551367,9.192456439,3.200450435,0.107582848,21.54255278,4.429117314,0.028299228
