"","uid","gene_name","alias","desc","id","gene_id","group","expression","GENENAME","GO"
"1",7157,"NIR","BCC7, BMFS5, LFS1, P53, TRP53","tumor protein p53",8137,"MSTRG.2818","t20","up",NA,NA
"2",21898,"SCA1","Lps, Ly87, Ran/M1, Rasl2-8","toll-like receptor 4",4273,"MSTRG.1405","t20","up",NA,NA
"3",41640,"41640","Dmel_CG8790, BcDNA:GH02431, CG8790, DmDic1p, Dmel\CG8790","Dicarboxylate carrier 1",17848,"MSTRG.6126","t20","up",NA,NA
"4",547566,"LOC547566","GLYMA_03G253200","indole-3-acetic acid induced protein ARG-2 homolog",17125,"MSTRG.5853","t20","up","indole-3-acetic acid induced protein ARG-2 homolog",NA
"5",547630,"LOC547630","GLYMA_09G004400","adenosine 5'-phosphosulfate reductase",49440,"MSTRG.16830","t20","up","adenosine 5'-phosphosulfate reductase","GO:0016671,GO:0019419"
"6",547685,"NRP-A","GLYMA_20G066100, NRP","N-rich protein",114662,"MSTRG.38679","t20","up","N-rich protein","GO:0005737,GO:0034976,GO:0009414"
"7",547729,"LOC547729","GLYMA_10G106600, BGL","beta-glucosidase BoGH3B",57410,"MSTRG.19467","t20","up","beta-glucosidase BoGH3B","GO:0005576,GO:0008422,GO:0009251,GO:0102483,GO:0005975"
"8",547756,"PEPC4","GLYMA_12G210600","phosphoenolpyruvate carboxylase",71878,"MSTRG.24390","t20","up","phosphoenolpyruvate carboxylase","GO:0005829,GO:0008964,GO:0015977,GO:0048366,GO:0006099"
"9",547835,"LOC547835","GLYMA_07G007000, LOX1.4, SC514, loxA","lipoxygenase",35771,"MSTRG.12130","t20","up","lipoxygenase","GO:0005737,GO:0005506,GO:1990136,GO:0016702,GO:0006633,GO:0034440,GO:0031408"
"10",547860,"LOX7","GLYMA_13G347800","lipoxygenase",80182,"MSTRG.27219","t20","up","lipoxygenase","GO:0005737,GO:0046872,GO:0016702,GO:0006633,GO:0031408"
"11",547866,"LOC547866","GLYMA_20G170300","choline kinase",116887,"MSTRG.39457","t20","up","choline kinase","GO:0005737,GO:0004103,GO:0004305,GO:0006656,GO:0006646"
"12",818294,"PIP2-3","AT2G37180, PIP2;3, PIP2C, PLASMA MEMBRANE INTRINSIC PROTEIN 2;3, PLASMA MEMBRANE INTRINSIC PROTEIN 2C, RESPONSIVE TO DESICCATION 28, T2N18.6, T2N18_6","Aquaporin-like superfamily protein",65326,"MSTRG.22343","t20","up",NA,NA
