"","gene_name","glyma","desc"
"1","trnH-GUG","LK095_pgp018","pseudo"
"2","psbA","AT5G37780, ACAM-1, K22F20.20, K22F20_20, TCH1, TOUCH 1, calmodulin 1","calmodulin 1"
"3","trnK-UUU","PehoCp002","maturase K"
"4","trnK-UUU","PehoCp002","maturase K"
"5","matK","ERBB, ERBB1, ERRP, HER1, NISBD2, PIG61, mENA","epidermal growth factor receptor"
"6","rbcL","AT2G31400, T28P16.11, T28P16_11, genomes uncoupled 1","s uncoupled 1"
"7","atpB","A-FABP, AFABP, ALBP, HEL-S-104, aP2","fatty acid binding protein 4"
"8","atpE","b3737, ECK3730, papH, uncE","ATP synthase Fo complex subunit c"
"9","trnM-CAU","GigaM_p02","tRNA-Met"
"10",".",NA,NA
"11","trnV-UAC","N4L13_pgp092","pseudo"
"12","ndhC","ZemaCp029, ndh3","NADH dehydrogenase subunit 3"
"13","ndhK","ZemaCp028","NADH dehydrogenase subunit K"
"14","ndhJ","ZemaCp027","NADH dehydrogenase subunit J"
"15","trnF-GAA","FAZ94_pgp070","pseudo"
"16","trnL-UAA","C2H56_pgp44, BuchCt011","pseudo"
"17","trnL-UAA","C2H56_pgp44, BuchCt011","pseudo"
"18",".",NA,NA
"19","trnT-UGU","M9533_pgp026","pseudo"
"20","rps4","Dmel_CG3665, 1D4, Ab 1D4, CG3665, CT12301, Dmel\CG3665, EG:EG0007.3, FAS 11, FAS II, FAS2, FASII, Fas, Fas 2, Fas II, Fas-II, FasII, Fasc II, FascII, Fasii, MAB1D4, anon-EST:Liang-1.60, clone 1.60, fas II, fas-II, fas2, fasII, fasciclin II, l(1)G0032, l(1)G0048, l(1)G0081, l(1)G0293, l(1)G0336, mAB1D4, mAb 1D4, mAb1D4","Fasciclin 2"
"21","trnS-GGA","DA397_mgt13","ncRNA"
"22","ycf3","CIG-49, GARG-49, IFI60, IFIT4, IRG2, ISG60, P60, RIG-G, cig41","interferon induced protein with tetratricopeptide repeats 3"
"23","psaA","ANX2, ANX2L4, CAL1H, HEL-S-270, LIP2, LPC2, LPC2D, P36, PAP-IV","annexin A2"
"24","psaB","FAAH-1, PSAB","fatty acid amide hydrolase"
"25","rps14","BCC7, BMFS5, LFS1, P53, TRP53","tumor protein p53"
"26","trnfM-CAU","J2A10_pgp069","pseudo"
"27",".",NA,NA
"28","trnG-GCC","DA397_mgt14","ncRNA"
"29","psbZ","ZemaCp009","photosystem II protein Z"
"30","trnS-UGA","C2G90_mgp04, PebiMt23","pseudo"
"31","psbC","AT1G44575, CP22, NONPHOTOCHEMICAL QUENCHING 4, PHOTOSYSTEM II SUBUNIT S, PSBS, PSII-S, T18F15.3, T18F15_3","Chlorophyll A-B binding family protein"
"32","psbD","ArthCp002","photosystem II protein D1"
"33","trnT-GGU","OOA52_pgp073","photosystem II protein D2"
"34","trnE-UUC","OQ093_pgp16","pseudo"
"35","trnY-GUA","PhlaMt12","pseudo"
"36","trnD-GUC","BI104_gp084","pseudo"
"37","psbM","ZemaCp011","photosystem II protein M"
"38","petN","10q23del, BZS, CWS1, DEC, GLM2, MHAM, MMAC1, PTEN1, PTENbeta, TEP1","phosphatase and tensin homolog"
"39","trnC-GCA","ICG91_pgr001","5S ribosomal RNA"
"40","rpoB","b3987, ECK3978, ftsR, groN, nitB, rif, ron, sdgB, stl, stv, tabD","RNA polymerase subunit beta"
