"uid","gene_name","alias","desc"
"1956","GRP","ERBB, ERBB1, ERRP, HER1, NISBD2, PIG61, mENA","epidermal growth factor receptor"
"100779051","LOC100779051","GLYMA_05G009000","early nodulin-93"
NA,".",NA,NA
NA,".",NA,NA
"100803911","LOC100803911","GLYMA_01G103500","auxin response factor 9"
"100305716","LOC100305716","GLYMA_08G082100","uncharacterized LOC100305716"
"100527721","LOC100527721","GLYMA_11G060500","uncharacterized LOC100527721"
NA,".",NA,NA
NA,".",NA,NA
"100037478","SACPD-C","GLYMA_14G121400, FAB2.3","stearoyl-ACP desaturase"
"100813408","LOC100813408","GLYMA_10G044800","WAT1-related protein At2g37460"
"100500169","LOC100500169","","uncharacterized LOC100500169"
NA,".",NA,NA
NA,".",NA,NA
NA,".",NA,NA
"100787680","FATB1B","GLYMA_17G120400","myristoyl-acyl carrier protein thioesterase, chloroplastic-like"
"100816661","LOC100816661","GLYMA_13G149700","putative mediator of RNA polymerase II transcription subunit 26"
"100305771","LOC100305771","GLYMA_13G301400","uncharacterized LOC100305771"
"100784293","LOC100784293","GLYMA_16G155800","histidinol-phosphate aminotransferase, chloroplastic"
"100305823","LOC100305823","GLYMA_06G298600","uncharacterized LOC100305823"
"106799481","LOC106799481","","uncharacterized LOC106799481"
"100776723","LOC100776723","GLYMA_12G218300","uncharacterized LOC100776723"
"100817824","LOC100817824","GLYMA_18G147100","pre-rRNA-processing protein TSR2"
"100810689","LOC100810689","GLYMA_17G083200","H/ACA ribonucleoprotein complex subunit 2-like protein"
NA,".",NA,NA
"100306683","LOC100306683","GLYMA_17G117200","uncharacterized LOC100306683"
"100789000","LOC100789000","GLYMA_04G215900","actin-7"
NA,".",NA,NA
NA,".",NA,NA
"852848","CAT4","YGL035C, CAT4, SSN1, TDS22","transcription factor MIG1"
"100500345","LOC100500345","GLYMA_11G235000","uncharacterized LOC100500345"
"100807854","LOC100807854","GLYMA_18G297100","LOB domain-containing protein 41"
NA,".",NA,NA
NA,".",NA,NA
NA,".",NA,NA
"100807339","LOC100807339","GLYMA_11G195800","P-loop NTPase domain-containing protein LPA1 homolog 1"
"100818450","LOC100818450","GLYMA_06G297800","uncharacterized LOC100818450"
"100811997","LOC100811997","GLYMA_20G098400","calreticulin"
NA,".",NA,NA
NA,".",NA,NA
NA,".",NA,NA
"100527680","LOC100527680","GLYMA_08G045100","uncharacterized LOC100527680"
"100786990","LOC100786990","GLYMA_10G078400","2-cys peroxiredoxin"
NA,".",NA,NA
"100783845","LOC100783845","GLYMA_11G241700","histone H3.3"
"818982","LBD37","AT2G43790, ATMAPK6, ATMPK6, F18O19.10, MAP KINASE 6, MAP kinase 6, MAPK6","MAP kinase 6"
"547619","SHOOT2","GLYMA_19G190000","SHOOT2 protein"
"100801229","LOC100801229","GLYMA_15G048700","pinin"
NA,".",NA,NA
NA,".",NA,NA
NA,".",NA,NA
"100778355","LOC100778355","GLYMA_06G299000","uncharacterized LOC100778355"
"100499922","LOC100499922","GLYMA_10G224200","40S ribosomal protein S18"
"100786490","LOC100786490","GLYMA_19G046300","LOB domain-containing protein 41"
"100808934","LOC100808934","GLYMA_03G189600","Myb/SANT-like DNA-binding domain-containing protein"
"100810310","LOC100810310","GLYMA_17G143200","60S ribosomal protein L15-1"
NA,".",NA,NA
"100799708","LOC100799708","GLYMA_11G105900","cold shock protein 2"
NA,".",NA,NA
"100500529","LOC100500529","GLYMA_11G123600","diphthamide biosynthesis protein 3"
"100818414","LOC100818414","GLYMA_20G132800","mitotic checkpoint protein BUB3.1"
"100527335","LOC100527335","GLYMA_02G258800","transport protein Sec61 subunit gamma"
"100788131","LOC100788131","GLYMA_05G157200","mitogen-activated protein kinase 7-like"
"100820292","LOC100820292","GLYMA_17G117100","early nodulin-93-like"
NA,".",NA,NA
NA,".",NA,NA
"100817911","LOC100817911","GLYMA_06G297600","uncharacterized LOC100817911"
"100527371","LOC100527371","GLYMA_19G213100","uncharacterized LOC100527371"
"100806454","LOC100806454","GLYMA_10G048100","two-component response regulator-like APRR7"
"836163","LBD30","AT5G60410, AT5G60420, ATSIZ1, MUF9.5, MUF9_5","DNA-binding protein with MIZ/SP-RING zinc finger, PHD-finger and SAP domain-containing protein"
"100788584","LOC100788584","GLYMA_17G045800, GmSS","sucrose synthase"
NA,".",NA,NA
NA,".",NA,NA
"100799771","LOC100799771","GLYMA_06G121500","transcriptional corepressor SEUSS"
NA,".",NA,NA
"100794816","LOC100794816","GLYMA_05G222400","1-aminocyclopropane-1-carboxylate oxidase 1"
"100815403","LOC100815403","GLYMA_12G200800","uncharacterized LOC100815403"
NA,".",NA,NA
"100798373","LOC100798373","GLYMA_13G103200","ribosomal RNA processing protein 1 homolog"
NA,".",NA,NA
"100793429","LOC100793429","GLYMA_13G282400","uncharacterized LOC100793429"
NA,".",NA,NA
"100500080","LOC100500080","GLYMA_12G182300","uncharacterized LOC100500080"
"102577934","C4H1","","cinnamate 4-hydroxylase CYP73"
"100816661","LOC100816661","GLYMA_13G149700","putative mediator of RNA polymerase II transcription subunit 26"
NA,".",NA,NA
"100233234","LOC100233234","GLYMA_10G180600, GmCRY2a1, GmCRY2a2","cryptochrome 2"
NA,".",NA,NA
"100775561","LOC100775561","GLYMA_01G242900","40S ribosomal protein S29"
NA,".",NA,NA
NA,".",NA,NA
NA,".",NA,NA
NA,".",NA,NA
"100499784","LOC100499784","GLYMA_05G146800","60S ribosomal protein L17-2"
NA,".",NA,NA
NA,".",NA,NA
"100305687","LOC100305687","GLYMA_08G217700","uncharacterized LOC100305687"
"100820121","LOC100820121","GLYMA_09G061200","calcium-transporting ATPase 8, plasma membrane-type"
"100499979","LOC100499979","GLYMA_03G189300","uncharacterized LOC100499979"
"100814873","LOC100814873","GLYMA_12G200600","uncharacterized LOC100814873"
"100799545","LOC100799545","GLYMA_04G256800","uncharacterized LOC100799545"
"100789053","LOC100789053","GLYMA_07G153100","pyruvate decarboxylase 2"
"100779467","LOC100779467","GLYMA_16G062000","kelch repeat-containing protein At3g27220"
NA,".",NA,NA
NA,".",NA,NA
"102665617","LOC102665617","GLYMA_11G022400","brassinosteroid-responsive RING protein 1"
NA,".",NA,NA
NA,".",NA,NA
"100792416","LOC100792416","GLYMA_08G232400","uncharacterized LOC100792416"
"100788332","LOC100788332","GLYMA_06G160400","defensin Ec-AMP-D2"
NA,".",NA,NA
"102666841","LOC100777575","","cyprosin-like"
"100781661","LOC100781661","GLYMA_02G287000","peroxisomal and mitochondrial division factor 2"
NA,".",NA,NA
NA,".",NA,NA
"100798344","LOC100798344","GLYMA_20G108800","mitochondrial pyruvate carrier 1"
NA,".",NA,NA
"100803038","LOC100803038","GLYMA_17G238200","probable isoaspartyl peptidase/L-asparaginase 2"
NA,".",NA,NA
"548080","LOC548080","GLYMA_02G245100","HMG-Y related protein variant A"
"100306608","LOC100306608","GLYMA_13G282200","uncharacterized LOC100306608"
"100784666","LOC100784666","GLYMA_01G061500","serine/threonine-protein kinase dst1"
"100808209","LOC100808209","GLYMA_10G172300","glucan endo-1,3-beta-glucosidase 11"
"112998429","LOC112998429","","small nucleolar RNA snoR143"
"100800993","LOC100800993","GLYMA_12G227900","chromatin remodeling protein EBS-like"
NA,".",NA,NA
NA,".",NA,NA
NA,".",NA,NA
NA,".",NA,NA
"100779499","LOC100779499","GLYMA_09G023600, GmHD-ZIPIII-5","homeobox-leucine zipper protein ATHB-14-like"
"351","RPL37","AAA, ABETA, ABPP, AD1, APPI, CTFgamma, CVAP, PN-II, PN2, alpha-sAPP, preA4","amyloid beta precursor protein"
NA,".",NA,NA
NA,".",NA,NA
"100777071","NAC021","GLYMA_04G226700","NAC transcription factor"
NA,".",NA,NA
"100803820","LOC100803820","GLYMA_04G008700","zinc finger protein GIS2"
"100813165","LOC100813165","GLYMA_16G070900","glycine-rich RNA-binding protein 3, mitochondrial"
"100809485","LOC100809485","GLYMA_03G235800","ATP-dependent Clp protease proteolytic subunit-related protein 3, chloroplastic-like"
NA,".",NA,NA
"100786167","LOC100786167","GLYMA_05G143300","putative hydrolase C777.06c"
NA,".",NA,NA
NA,".",NA,NA
NA,".",NA,NA
NA,".",NA,NA
NA,".",NA,NA
"100803701","LOC100803701","GLYMA_07G114900","50S ribosomal protein L4, chloroplastic"
NA,".",NA,NA
"121174643","LOC121174643","","receptor-like serine/threonine-protein kinase At2g45590"
NA,".",NA,NA
NA,".",NA,NA
"100795875","LOC100795875","GLYMA_12G030800","glycine-rich protein 2"
"100811107","LOC100811107","GLYMA_04G068400","transcription initiation factor TFIID subunit 15"
NA,".",NA,NA
NA,".",NA,NA
NA,".",NA,NA
"100798895","LOC100798895","GLYMA_06G087300","uncharacterized LOC100798895"
NA,".",NA,NA
"100781142","LOC100781142","GLYMA_03G144800","actin-3"
NA,".",NA,NA
NA,".",NA,NA
"100783654","LOC100783654","GLYMA_03G026000","uncharacterized LOC100783654"
"100803820","LOC100803820","GLYMA_04G008700","zinc finger protein GIS2"
NA,".",NA,NA
"778190","BZIP99","GLYMA_13G193700, GmTGA19","bZIP transcription factor"
NA,".",NA,NA
"100804417","LOC100804417","GLYMA_07G002000","uncharacterized LOC100804417"
"100796380","LOC100796380","GLYMA_04G218800","programmed cell death protein 2-like"
"100803850","LOC100803850","GLYMA_05G059600","40S ribosomal protein S30"
"100816874","LOC100816874","GLYMA_08G048200","40S ribosomal protein S16"
"100811945","HSF-21","GLYMA_10G029600, GmHSF-21","heat stress transcription factor 21"
NA,".",NA,NA
NA,".",NA,NA
NA,".",NA,NA
"100793726","LOC100793726","GLYMA_03G023500","uncharacterized LOC100793726"
"102667101","LOC102667101","","uncharacterized LOC102667101"
"100779362","LOC100779362","GLYMA_11G143400","60S ribosomal protein L23A"
"102668075","LOC102668075","","uncharacterized LOC102668075"
"100783140","LOC100783140","GLYMA_19G221900","auxin-responsive protein IAA20"
"100787024","LOC100787024","GLYMA_19G193200","60S acidic ribosomal protein P2-2"
NA,".",NA,NA
"100801741","LOC100801741","GLYMA_06G135800","60S acidic ribosomal protein P1"
"100792019","LOC100792019","GLYMA_06G161700","protein SUPPRESSOR OF GENE SILENCING 3"
"100499992","LOC100499992","GLYMA_16G116300","uncharacterized LOC100499992"
NA,".",NA,NA
"100809393","LOC100809393","GLYMA_15G020700","profilin-4"
NA,".",NA,NA
"100527558","LOC100527558","GLYMA_10G021300","uncharacterized LOC100527558"
"100777625","LOC100777625","GLYMA_13G294600","protein NUCLEAR FUSION DEFECTIVE 6, mitochondrial"
"100792019","LOC100792019","GLYMA_06G161700","protein SUPPRESSOR OF GENE SILENCING 3"
NA,".",NA,NA
NA,".",NA,NA
NA,".",NA,NA
NA,".",NA,NA
"100170736","LOC100170736","","(S)-2-hydroxy-acid oxidase GLO1"
NA,".",NA,NA
"100801545","LOC100801545","GLYMA_05G133100","E3 ubiquitin-protein ligase UPL1"
"89","DRR1","ACTN3D","actinin alpha 3"
NA,".",NA,NA
NA,".",NA,NA
"106798613","LOC106798613","","uncharacterized LOC106798613"
"100817900","LOC100817900","GLYMA_13G025700","N-acetyltransferase 9-like"
NA,".",NA,NA
"106798417","LOC100810235","","uncharacterized LOC106798417"
"100775264","CHS13","GLYMA_19G105100, GmCHS13","chalcone synthase 13"
NA,".",NA,NA
"100805220","LOC100805220","GLYMA_11G030700","thylakoid lumenal protein TL20.3, chloroplastic"
"100815710","LOC100815710","GLYMA_11G081600","uncharacterized LOC100815710"
"100306475","LOC100306475","GLYMA_17G109000","uncharacterized LOC100306475"
"100807247","LOC100807247","GLYMA_07G257700","stem-specific protein TSJT1"
"100781170","LOC100781170","GLYMA_04G213300","NAC domain-containing protein 82"
"100776329","LOC100776329","GLYMA_18G136900","serine/arginine-rich splicing factor RSZ21-like"
NA,".",NA,NA
NA,".",NA,NA
NA,".",NA,NA
NA,".",NA,NA
"100814175","LOC100814175","GLYMA_13G046300","LOB domain-containing protein 41"
"100786479","LOC100786479","GLYMA_19G110200","GATA transcription factor 5-like"
NA,".",NA,NA
NA,".",NA,NA
"100794055","LOC100794055","GLYMA_18G048400","deoxyuridine 5'-triphosphate nucleotidohydrolase"
"100782924","LOC100782924","GLYMA_18G009700","glyceraldehyde-3-phosphate dehydrogenase, cytosolic-like"
NA,".",NA,NA
"112997784","LOC112997784","GLYMA_01G184900","precursor of CEP7"
NA,".",NA,NA
"100306624","LOC100306624","GLYMA_13G133900","uncharacterized LOC100306624"
NA,".",NA,NA
"100806473","LOC100806473","GLYMA_19G115600","plant cysteine oxidase 2"
"100802339","LOC100802339","GLYMA_09G225900","equilibrative nucleotide transporter 1"
"100819707","LOC100819707","GLYMA_06G316500","S-adenosylmethionine-dependent methyltransferases superfamily protein"
NA,".",NA,NA
"112999213","LOC112999213","","28S ribosomal RNA"
"100801450","LOC100801450","GLYMA_09G094800","60S ribosomal protein L39"
NA,".",NA,NA
"100787151","LOC100787151","GLYMA_01G042400","probable serine/threonine-protein kinase PIX7"
"100818200","LOC100818200","GLYMA_03G205800","40S ribosomal protein S28"
