"...1","t_id","t_name","num_exons","length","gene_id","gene_name","ctr_rep1+1","ctr_rep2+1","ctr_rep3+1","average control+1","t20_rep1+1","t20_rep2+1","t20_rep3+1","average t20+1","t40_rep1+1","t40_rep2+1","t40_rep3+1","average t40+1","FC average t20/control","log2FC t20","pvalue t20","FC average t40","log2FCt40","pvalue t49"
64538,64538,"MSTRG.22092.1",5,805,"MSTRG.22092",".",1,1.003863,1,1.001287667,1,322.169525,1,108.0565083,118.134216,99.897827,76.103279,98.04510733,107.9175465,6.753785644,0.37390613,97.91902024,6.613517218,0.001339788
35021,35021,"rna-XM_003526256.5",3,1277,"MSTRG.11876","LOC100777107",1,1,1,1,20.432426,1.919079,18.012367,13.454624,47.764294,71.725945,115.947372,78.47920367,13.454624,3.750030169,0.098679148,78.47920367,6.294238497,0.017845476
61559,61559,"MSTRG.20900.2",2,500,"MSTRG.20900",".",1,1,1,1,1,114.985146,72.747192,62.91077933,110.050812,29.689381,84.634308,74.79150033,62.91077933,5.975235329,0.136266683,74.79150033,6.224802419,0.035814825
28023,28023,"rna-XM_003525301.5",3,1883,"MSTRG.9470","LOC100815760",1.485543,1.227896,1.441617,1.385018667,47.278587,9.744512,42.366779,33.12995933,47.783085,75.105431,96.316429,73.068315,23.92022586,4.580159107,0.054368277,52.75619509,5.721268612,0.006968532
29217,29217,"rna-XM_003527447.5",1,1189,"MSTRG.9926","LOC100794321",1.216944,1.325246,1.090114,1.210768,16.842552,2.660731,19.219105,12.90746267,31.840818,68.044037,86.195396,62.02675033,10.66055815,3.414211069,0.086429934,51.22926137,5.678896186,0.018996894
35019,35019,"rna-XM_003526255.4",3,1334,"MSTRG.11875","LOC778087",1,1.032222,1.02013,1.017450667,8.273324,1.291475,6.036405,5.200401333,35.428658,34.243874,81.868469,50.513667,5.111207357,2.353664121,0.111939803,49.6472887,5.633643027,0.034301817
62959,62959,"rna-NM_001317483.2",2,1838,"MSTRG.21435","LOC100780605",1.023702,1.023387,1.131005,1.059364667,11.245204,1.257673,7.251215,6.584697333,43.327709,47.06741,64.145248,51.51345567,6.21570413,2.635917833,0.129699168,48.62674514,5.603678122,0.001406158
68588,68588,"rna-XM_003540657.4",10,1852,"MSTRG.23401","LOC100802250",1.023213,1,1,1.007737667,14.637831,1.454418,6.576253,7.556167333,34.573879,41.148739,61.046894,45.58983733,7.498149155,2.906534524,0.163090656,45.23978692,5.499520229,0.004985537
43800,43800,"rna-NM_001350109.1",2,1450,"MSTRG.14947","CHS1",1.319959,1.509501,1.952859,1.594106333,15.245082,2.190943,28.884108,15.44004433,48.123093,54.610138,107.059074,69.93076833,9.685705408,3.275857124,0.146890112,43.868321,5.455107585,0.021535932
60160,60160,"rna-NM_001251739.2",3,812,"MSTRG.20365","LOC100306170",1.180909,1.969285,1.557009,1.569067667,6.755538,4.200368,10.057227,7.004377667,55.854595,65.604202,83.24498,68.23459233,4.464037986,2.158349304,0.033613003,43.48734842,5.44252384,0.001143434
85799,85799,"rna-NM_001250463.2",5,1483,"MSTRG.29040","WRKY27",2.183246,2.344317,2.009196,2.178919667,26.202044,4.602268,28.091759,19.63202367,52.097031,82.307953,127.261078,87.22202067,9.009980481,3.171523981,0.08147684,40.02993869,5.323007501,0.017623731
25961,25961,"rna-NM_001254481.2",1,840,"MSTRG.8703","LOC100811478",2.073071,2.839294,1.765646,2.226003667,34.626671,9.872635,59.781742,34.76034933,49.661785,105.72274,101.851982,85.74550233,15.61558494,3.964914707,0.086913575,38.51992861,5.267533124,0.009883813
43852,43852,"MSTRG.14963.1",3,1435,"MSTRG.14963",".",1.62703,1.847987,2.09512,1.856712333,13.101113,2.684779,28.652807,14.81289967,48.861488,58.986256,106.435074,71.427606,7.978026214,2.996031864,0.161132372,38.46993674,5.265659552,0.017244205
64283,64283,"rna-XM_003539003.5",10,1859,"MSTRG.21980","LOC100776708",1,1,1,1,16.093059,2.625835,11.173455,9.964116333,26.532858,38.897465,49.185326,38.20521633,9.964116333,3.316741865,0.084936607,38.20521633,5.255697724,0.004737009
43857,43857,"rna-XM_041018100.1",2,1457,"MSTRG.14963","LOC121175284",1.210226,1.358146,1.626391,1.398254333,13.93546,1.795526,22.044439,12.59180833,40.159977,46.467178,71.396729,52.674628,9.005377658,3.17078678,0.12993634,37.67170733,5.235409514,0.005782405
8078,8078,"rna-NM_001317551.2",2,1789,"MSTRG.2800","LOC100783984",2.369275,1.624625,1.254976,1.749625333,32.303686,6.066679,26.86961,21.74665833,46.764118,69.085617,79.971771,65.27383533,12.42932296,3.635675808,0.066839826,37.3073218,5.221386891,0.002897018
43799,43799,"rna-NM_001289367.1",2,1167,"MSTRG.14946","CHS3",1.724104,2.425884,2.250755,2.133581,22.603695,3.149192,38.691574,21.481487,63.450638,65.547661,108.798645,79.265648,10.06827817,3.331745076,0.132894644,37.15145945,5.215346981,0.006433915
6510,6510,"rna-NM_001249261.2",1,758,"MSTRG.2272","LOC100527189",2.302967,1.339869,1.460431,1.701089,27.033123,4.161172,22.036154,17.743483,47.329121,62.94685,77.399208,62.558393,10.43066118,3.382758705,0.082167582,36.77549676,5.200672924,0.002186505
64286,64286,"rna-XM_006590889.4",10,1862,"MSTRG.21981","LOC100777247",1,1,1,1,17.378531,2.610582,13.168818,11.05264367,23.57173,34.213806,52.170776,36.652104,11.05264367,3.466319582,0.083986375,36.652104,5.195824113,0.012928691
62480,62480,"rna-NM_001250231.2",4,824,"MSTRG.21233","LOC100306332",1,1.396025,1.109189,1.168404667,6.554757,1,6.761507,4.772088,25.204895,34.740643,67.303177,42.41623833,4.084276737,2.030080622,0.129337109,36.30269506,5.182004751,0.031781259
97220,97220,"rna-XM_003549156.5",1,1917,"MSTRG.32927","LOC100804277",1,1.089467,1.205592,1.098353,19.41342,4.613128,23.677608,15.90138533,21.588137,39.978405,57.887638,39.81806,14.47748159,3.855738757,0.062481814,36.25251627,5.18000923,0.020928732
64280,64280,"rna-XM_003537896.5",10,1962,"MSTRG.21978","LOC100784723",1,1.065726,1,1.021908667,14.973407,1.761217,8.083667,8.272763667,28.488142,34.708149,44.917023,36.03777133,8.095404155,3.017103107,0.130165998,35.26515871,5.140171627,0.001861127
64182,64182,"rna-NM_001364605.1",1,606,"MSTRG.21941","LOC100500558",1.354712,1.070932,4.7205,2.382048,33.445076,6.134608,26.692841,22.09084167,60.335506,65.871231,122.608505,82.938414,9.273886029,3.213173997,0.076345654,34.81811198,5.121766069,0.015588621
17848,17848,"rna-NM_001250161.3",1,1291,"MSTRG.6126","41640",1.63249,1.315642,1.962304,1.636812,23.409241,6.440811,24.878122,18.24272467,31.519644,64.63345,71.157951,55.77034833,11.14527793,3.478360688,0.048540207,34.07254366,5.09053775,0.011590914
61524,61524,"rna-NM_001249061.2",13,1537,"MSTRG.20889","G4DT",1.543469,1,3.647436,2.063635,24.924501,4.614576,21.576418,17.03849833,77.051529,46.729671,85.987846,69.92301533,8.256546498,3.045538465,0.077443737,33.88342189,5.082507675,0.004685139
12710,12710,"rna-XM_006576402.4",5,1882,"MSTRG.4377","LOC102666898",1.706543,1,1.587201,1.431248,17.607019,3.392257,19.301857,13.433711,33.974316,51.851933,57.604645,47.810298,9.386012068,3.230512315,0.076230524,33.4046217,5.061975816,0.002863987
78820,78820,"rna-NM_001253148.1",2,1757,"MSTRG.26729","CYP82A2",1.048937,1.048929,1.25962,1.119162,14.891208,1.381102,12.090113,9.454141,35.12698,23.876911,52.242012,37.08196767,8.447517875,3.078527498,0.112933763,33.13369081,5.050227011,0.012054079
16093,16093,"MSTRG.5449.1",1,755,"MSTRG.5449",".",1.056942,1.056933,1.320108,1.144661,12.725551,2.692635,11.533799,8.983995,23.346645,35.484074,53.658237,37.49631867,7.848607579,2.972436728,0.06847694,32.7575751,5.033756659,0.014529568
43801,43801,"MSTRG.14947.1",3,1448,"MSTRG.14947",".",2.018037,2.824387,2.715648,2.519357333,19.587593,4.473721,35.479847,19.84705367,57.622154,66.482994,122.196182,82.10044333,7.877824001,2.977797186,0.125104065,32.58785177,5.026262346,0.016997968
22371,22371,"rna-XM_026128299.2",1,474,"MSTRG.7559","LOC113001461",1.272096,1.272054,1.509877,1.351342333,18.889429,6.177995,36.016563,20.361329,27.528461,49.12513,52.670387,43.10799267,15.06748401,3.913366629,0.092770924,31.90012746,4.995490283,0.006027846
41981,41981,"rna-NM_001354170.1",3,1506,"MSTRG.14244","WRKY46",1.171279,1.04901,1.124639,1.114976,14.642601,3.383215,17.04203,11.689282,25.729753,31.132471,48.612309,35.15817767,10.48388665,3.390101756,0.065959908,31.53267664,4.978775733,0.007873937
68586,68586,"rna-XM_006592099.3",13,1820,"MSTRG.23400","LOC106794108",2.197806,3.405638,1.359797,2.321080333,34.24118,4.628129,10.472645,16.447318,72.581955,59.433899,86.001945,72.67259967,7.086061505,2.824983988,0.19454859,31.30981666,4.968543155,0.000793426
29695,29695,"rna-XM_003525880.5",1,1096,"MSTRG.10107","SCTF-1",4.983345,2.329147,6.189398,4.50063,72.334785,11.612785,82.423615,55.45706167,72.096336,170.000748,180.394226,140.8304367,12.32206639,3.623172309,0.082836328,31.29127182,4.967688392,0.01682242
4459,4459,"rna-XM_003517347.5",4,1162,"MSTRG.1483","LOC100800709",1,1.004427,1,1.001475667,4.343743,1,4.738078,3.360607,17.570763,24.257364,51.863087,31.23040467,3.355655172,1.746594472,0.117515574,31.1843869,4.96275199,0.045003339
