"uid","gene_name","alias","desc","id","gene_id","group","expression","GENENAME","GO"
7157,"NIR","BCC7, BMFS5, LFS1, P53, TRP53","tumor protein p53",8137,"MSTRG.2818","t20","up",NA,NA
21898,"SCA1","Lps, Ly87, Ran/M1, Rasl2-8","toll-like receptor 4",4273,"MSTRG.1405","t20","up",NA,NA
41640,"41640","Dmel_CG8790, BcDNA:GH02431, CG8790, DmDic1p, Dmel\CG8790","Dicarboxylate carrier 1",17848,"MSTRG.6126","t20","up",NA,NA
547566,"LOC547566","GLYMA_03G253200","indole-3-acetic acid induced protein ARG-2 homolog",17125,"MSTRG.5853","t20","up","indole-3-acetic acid induced protein ARG-2 homolog","NA"
547630,"LOC547630","GLYMA_09G004400","adenosine 5'-phosphosulfate reductase",49440,"MSTRG.16830","t20","up","adenosine 5'-phosphosulfate reductase","GO:0016671,GO:0019419"
547685,"NRP-A","GLYMA_20G066100, NRP","N-rich protein",114662,"MSTRG.38679","t20","up","N-rich protein","GO:0005737,GO:0034976,GO:0009414"
547729,"LOC547729","GLYMA_10G106600, BGL","beta-glucosidase BoGH3B",57410,"MSTRG.19467","t20","up","beta-glucosidase BoGH3B","GO:0005576,GO:0008422,GO:0009251,GO:0102483,GO:0005975"
547756,"PEPC4","GLYMA_12G210600","phosphoenolpyruvate carboxylase",71878,"MSTRG.24390","t20","up","phosphoenolpyruvate carboxylase","GO:0005829,GO:0008964,GO:0015977,GO:0048366,GO:0006099"
547835,"LOC547835","GLYMA_07G007000, LOX1.4, SC514, loxA","lipoxygenase",35771,"MSTRG.12130","t20","up","lipoxygenase","GO:0005737,GO:0005506,GO:1990136,GO:0016702,GO:0006633,GO:0034440,GO:0031408"
547860,"LOX7","GLYMA_13G347800","lipoxygenase",80182,"MSTRG.27219","t20","up","lipoxygenase","GO:0005737,GO:0046872,GO:0016702,GO:0006633,GO:0031408"
547866,"LOC547866","GLYMA_20G170300","choline kinase",116887,"MSTRG.39457","t20","up","choline kinase","GO:0005737,GO:0004103,GO:0004305,GO:0006656,GO:0006646"
818294,"PIP2-3","AT2G37180, PIP2;3, PIP2C, PLASMA MEMBRANE INTRINSIC PROTEIN 2;3, PLASMA MEMBRANE INTRINSIC PROTEIN 2C, RESPONSIVE TO DESICCATION 28, T2N18.6, T2N18_6","Aquaporin-like superfamily protein",65326,"MSTRG.22343","t20","up",NA,NA
818395,"PHT1-1","AT2G38170, ATCAX1, F16M14.10, F16M14_10, HIGH AFFINITY CALCIUM ANTIPORTER CAX1, RARE COLD INDUCIBLE 4, RCI4, cation exchanger 1","cation exchanger 1",59219,"MSTRG.20028","t20","up",NA,NA
831207,"CHLH","AT5G13630, ABA-BINDING PROTEIN, ABAR, CCH, CCH1, CHLH, CONDITIONAL CHLORINA, GENOMES UNCOUPLED 5, H SUBUNIT OF MG-CHELATASE, T6I14.12","magnesium-chelatase subunit chlH, chloroplast, putative / Mg-protoporphyrin IX chelatase, putative (CHLH)",14695,"MSTRG.4933","t20","up",NA,NA
851752,"HIR3","YDR172W, GST1, PNM2, SAL3, SUF12, SUP2, SUP36","translation termination factor GTPase eRF3",23847,"MSTRG.8138","t20","up",NA,NA
100305418,"LOC100305418","GLYMA_12G002400","cytokinin-regulated kinase",67475,"MSTRG.23006","t20","up","cytokinin-regulated kinase","GO:0016021,GO:0005524,GO:0042803,GO:0004674"
100305767,"LOC100305767","GLYMA_08G158100","uncharacterized LOC100305767",44869,"MSTRG.15338","t20","up","uncharacterized LOC100305767","GO:0016021"
100305781,"GLYI-17","GLYMA_12G167400, GmGLYI-17","putative lactoylglutathione lyase",70964,"MSTRG.24069","t20","up","putative lactoylglutathione lyase","NA"
100305934,"LOC100305934","GLYMA_06G053300","uncharacterized LOC100305934",29857,"MSTRG.10166","t20","up","uncharacterized LOC100305934","NA"
100306006,"LOC100306006","GLYMA_15G256300","uncharacterized LOC100306006",91174,"MSTRG.30778","t20","up","uncharacterized LOC100306006","NA"
100306170,"LOC100306170","GLYMA_10G230600","heavy-metal-associated domain-containing protein",60160,"MSTRG.20365","t20","up","heavy-metal-associated domain-containing protein","GO:0046872"
100306181,"LOC100306181","GLYMA_20G129900","BSP domain-containing protien",116036,"MSTRG.39148","t20","up","BSP domain-containing protien","NA"
100306535,"LOC100306535","GLYMA_10G013700","uncharacterized LOC100306535",55394,"MSTRG.18857","t20","up","uncharacterized LOC100306535","NA"
100306554,"LOC100306554","GLYMA_04G020300","plastocyanin",17840,"MSTRG.6121","t20","up","plastocyanin","GO:0009535,GO:0005507,GO:0009055"
100306576,"LOC100306576","GLYMA_11G236500","uncharacterized LOC100306576",66880,"MSTRG.22815","t20","up","uncharacterized LOC100306576","NA"
100499653,"LOC100499653","GLYMA_06G259800","TIR-NBS-LRR type disease resistance protein",34327,"MSTRG.11656","t20","up","TIR-NBS-LRR type disease resistance protein","GO:0043531,GO:0006952"
100500210,"LOC100500210","GLYMA_13G250700","uncharacterized LOC100500210",78091,"MSTRG.26450","t20","up","uncharacterized LOC100500210","GO:0016021"
100500484,"LOC100500484","GLYMA_03G045600","dirigent-like protein",118690,"MSTRG.40098","t20","up","dirigent-like protein","GO:0048046"
100500597,"LOC100500597","GLYMA_13G054700","uncharacterized LOC100500597",73849,"MSTRG.24910","t20","up","uncharacterized LOC100500597","NA"
100500640,"LOC100500640","GLYMA_17G036400, GmC/VIF2","cell wall / vacuolar inhibitor of fructosidase",96832,"MSTRG.32768","t20","up","cell wall / vacuolar inhibitor of fructosidase","GO:0004857"
100527578,"LOC100527578","GLYMA_18G005000","uncharacterized LOC100527578",101865,"MSTRG.34502","t20","up","uncharacterized LOC100527578","GO:0016021"
100527605,"LOC100527605","GLYMA_11G152000","uncharacterized LOC100527605",65420,"MSTRG.22383","t20","up","uncharacterized LOC100527605","NA"
100527615,"LOC100527615","GLYMA_11G222300","tropinone reductase homolog At5g06060",66575,"MSTRG.22686","t20","up","tropinone reductase homolog At5g06060","GO:0016491"
100527644,"LOC100527644","GLYMA_18G191800","uncharacterized LOC100527644",105553,"MSTRG.35663","t20","up","uncharacterized LOC100527644","GO:0005504,GO:0009627"
100527669,"LOC100527669","GLYMA_16G177900","uncharacterized LOC100527669",95255,"MSTRG.32154","t20","up","uncharacterized LOC100527669","GO:0046872"
100736527,"PIP2-9","SlPIP2-9","aquaporin PIP2-9",6900,"MSTRG.2405","t20","up",NA,NA
100775519,"LOC100775519","GLYMA_07G212800","ferredoxin--nitrite reductase, chloroplastic",40172,"MSTRG.13569","t20","up","ferredoxin--nitrite reductase, chloroplastic","GO:0009570,GO:0051539,GO:0020037,GO:0046872,GO:0016491"
100776062,"LOC100776062","","probable protein phosphatase 2C 1",82756,"MSTRG.28183","t20","up",NA,NA
100776335,"LOC100776335","GLYMA_10G291400","caffeoylshikimate esterase",61410,"MSTRG.20856","t20","up","caffeoylshikimate esterase","NA"
100776827,"LOC100776827","GLYMA_09G256100","probable polygalacturonase",54386,"MSTRG.18503","t20","up","probable polygalacturonase","GO:0004650,GO:0005975"
100777264,"LOC100777264","GLYMA_12G235100","protein SRG1-like",72293,"MSTRG.24558","t20","up","protein SRG1-like","GO:0046872,GO:0016491"
100777578,"LOC100777578","GLYMA_11G085300","probable serine/threonine-protein kinase PIX13",63374,"MSTRG.21610","t20","up","probable serine/threonine-protein kinase PIX13","GO:0005524,GO:0004674"
100777818,"LOC100777818","GLYMA_06G128700","calcineurin B-like protein 4",31512,"MSTRG.10798","t20","up","calcineurin B-like protein 4","GO:0005509"
100778270,"LOC100778270","GLYMA_18G300800","leucine-rich repeat extensin-like protein 6",107684,"MSTRG.36421","t20","up","leucine-rich repeat extensin-like protein 6","NA"
