"uid","gene_name","alias","desc"
NA,".",NA,NA
NA,".",NA,NA
"100811437","LOC100811437","GLYMA_04G053300","aminopeptidase M1"
"100813636","LOC100813636","GLYMA_05G168400","ferredoxin-A"
NA,".",NA,NA
NA,".",NA,NA
NA,".",NA,NA
NA,".",NA,NA
"100820369","LOC100820369","GLYMA_04G225500","protein RESPONSE TO LOW SULFUR 3"
"100305767","LOC100305767","GLYMA_08G158100","uncharacterized LOC100305767"
"100784972","LOC100784972","GLYMA_14G099200","thermospermine synthase ACAULIS5"
NA,".",NA,NA
"41640","41640","Dmel_CG8790, BcDNA:GH02431, CG8790, DmDic1p, Dmel\CG8790","Dicarboxylate carrier 1"
"100800632","LOC100800632","GLYMA_05G082200","probable disease resistance protein At5g66900"
"100784637","LOC100784637","GLYMA_08G074200","J domain-containing protein"
"100813653","LOC100813653","GLYMA_06G139300","protein RESPONSE TO LOW SULFUR 3"
NA,".",NA,NA
NA,".",NA,NA
"100799978","LOC100799978","GLYMA_15G108700","5'-adenylylsulfate reductase 3, chloroplastic"
NA,".",NA,NA
"102665230","LOC102665230","GLYMA_09G098400v4","BTB/POZ and TAZ domain-containing protein 1-like"
"100792313","LOC100792313","GLYMA_03G085500","GTP cyclohydrolase 1"
"100799244","LOC100799244","GLYMA_13G354100","auxin-responsive protein IAA26"
"100306576","LOC100306576","GLYMA_11G236500","uncharacterized LOC100306576"
NA,".",NA,NA
"100813471","LOC100813471","GLYMA_13G084000","putative nitrate reductase 1"
"100802677","LOC100802677","GLYMA_16G022400","calcium-binding protein KIC"
"100782656","LOC100782656","GLYMA_13G058400","membrane-anchored ubiquitin-fold protein 1"
NA,".",NA,NA
"100794625","LOC100794625","GLYMA_20G125000","uncharacterized LOC100794625"
"100527669","LOC100527669","GLYMA_16G177900","uncharacterized LOC100527669"
"106799532","LOC106799532","GLYMA_08G151100","protein QUIRKY-like"
"100785655","LOC100785655","GLYMA_05G043900","BTB/POZ and TAZ domain-containing protein 1"
NA,".",NA,NA
"547756","PEPC4","GLYMA_12G210600","phosphoenolpyruvate carboxylase"
"7157","NIR","BCC7, BMFS5, LFS1, P53, TRP53","tumor protein p53"
"100775519","LOC100775519","GLYMA_07G212800","ferredoxin--nitrite reductase, chloroplastic"
"100792511","LOC100792511","GLYMA_04G040300","transferase family protein"
"100784766","LOC100784766","GLYMA_20G030600","uncharacterized LOC100784766"
NA,".",NA,NA
NA,".",NA,NA
"547860","LOX7","GLYMA_13G347800","lipoxygenase"
NA,".",NA,NA
"100798036","LOC100798036","GLYMA_07G134500","uncharacterized LOC100798036"
"100783376","LOC100783376","GLYMA_14G016300","zinc finger CCCH domain-containing protein 29"
"547685","NRP-A","GLYMA_20G066100, NRP","N-rich protein"
"100812481","LOC100812481","GLYMA_02G296600","zinc finger CCCH domain-containing protein 29"
NA,".",NA,NA
NA,".",NA,NA
NA,".",NA,NA
"100806690","LOC100806690","GLYMA_06G072500","coiled-coil domain-containing protein 93"
"100818944","LOC100818944","GLYMA_20G133100","BTB/POZ domain-containing protein NPY2"
"100305418","LOC100305418","GLYMA_12G002400","cytokinin-regulated kinase"
NA,".",NA,NA
"100798318","LOC100798318","GLYMA_11G171400","asparagine synthetase [glutamine-hydrolyzing] 2"
"100793208","LOC100793208","GLYMA_04G2543001, GmSHMT04n","serine hydroxymethyltransferase 7"
"100788062","LOC100788062","GLYMA_10G079900","NDR1/HIN1-like protein 10"
"102660573","LOC102660573","GLYMA_12G236500","probable disease resistance protein At1g61300"
"100781785","LOC100781785","GLYMA_15G021800","LRR receptor-like serine/threonine-protein kinase IOS1"
"100801838","TGA05","GLYMA_03G128200, GmTGA05","bZIP transcription factor 5"
"102664858","LOC102664858","GLYMA_18G056400","senescence associated gene 20"
NA,".",NA,NA
"547566","LOC547566","GLYMA_03G253200","indole-3-acetic acid induced protein ARG-2 homolog"
NA,".",NA,NA
NA,".",NA,NA
"100818139","LOC100818139","GLYMA_08G017900","heavy metal-associated isoprenylated plant protein 39"
"100777818","LOC100777818","GLYMA_06G128700","calcineurin B-like protein 4"
"100805895","LOC100805895","GLYMA_09G274000, WRKY","probable WRKY transcription factor 70-like"
NA,".",NA,NA
NA,".",NA,NA
"100796491","LOC100796491","GLYMA_02G245700","probable calcium-binding protein CML18"
"100527644","LOC100527644","GLYMA_18G191800","uncharacterized LOC100527644"
"100811514","LOC100811514","GLYMA_14G111800","aspartate aminotransferase P2, mitochondrial"
NA,".",NA,NA
NA,".",NA,NA
"100784098","LOC100784098","GLYMA_15G171000","IQ domain-containing protein IQM1"
NA,".",NA,NA
NA,".",NA,NA
NA,".",NA,NA
"100794600","LOC100794600","GLYMA_19G011700","alpha-dioxygenase 1"
"100805188","LOC100805188","GLYMA_18G172600","protein SULFUR DEFICIENCY-INDUCED 1"
NA,".",NA,NA
"100795759","LOC100795759","GLYMA_08G214600","topless-related protein 1"
"100814727","LOC100814727","GLYMA_13G344700","B-box zinc finger protein"
"818395","PHT1-1","AT2G38170, ATCAX1, F16M14.10, F16M14_10, HIGH AFFINITY CALCIUM ANTIPORTER CAX1, RARE COLD INDUCIBLE 4, RCI4, cation exchanger 1","cation exchanger 1"
NA,".",NA,NA
NA,".",NA,NA
NA,".",NA,NA
NA,".",NA,NA
NA,".",NA,NA
NA,".",NA,NA
NA,".",NA,NA
"100305934","LOC100305934","GLYMA_06G053300","uncharacterized LOC100305934"
"547866","LOC547866","GLYMA_20G170300","choline kinase"
"100791093","LOC100791093","GLYMA_11G239900","uncharacterized LOC100791093"
NA,".",NA,NA
"100817267","LOC100817267","GLYMA_09G246600","probably inactive leucine-rich repeat receptor-like protein kinase At5g48380"
"100782656","LOC100782656","GLYMA_13G058400","membrane-anchored ubiquitin-fold protein 1"
"100777264","LOC100777264","GLYMA_12G235100","protein SRG1-like"
"106799011","LOC100809371","","callose synthase 10"
"100788917","LOC100788917","GLYMA_09G197100","glutamate receptor 3.6"
"100811455","LOC100811455","GLYMA_12G181100","GABA transporter 1"
"100801250","LOC100801250","GLYMA_01G204600","glutamate dehydrogenase 2"
"100792931","LOC100792931","GLYMA_07G266500","scarecrow-like protein 13-like"
"100306170","LOC100306170","GLYMA_10G230600","heavy-metal-associated domain-containing protein"
"100799411","LOC100799411","GLYMA_13G110700","serine/threonine-protein kinase RIPK"
NA,".",NA,NA
"100810277","LOC100810277","GLYMA_07G139400","non-specific lipid transfer protein GPI-anchored 5"
"100787229","LOC100787229","GLYMA_12G222500","CBS domain-containing protein CBSX5"
"100527605","LOC100527605","GLYMA_11G152000","uncharacterized LOC100527605"
NA,".",NA,NA
NA,".",NA,NA
NA,".",NA,NA
"100801386","LOC100801386","GLYMA_13G355000","ABC transporter G family member 36"
"100803062","LOC100803062","GLYMA_18G153800","uncharacterized protein At5g65660"
"100810609","LOC100810609","GLYMA_06G067200","adenine phosphoribosyltransferase 2-like"
"100784249","LOC100784249","GLYMA_13G095100","probable xyloglucan endotransglucosylase/hydrolase protein 23"
"100796843","LOC100796843","GLYMA_17G093900","two-component response regulator ARR5"
NA,".",NA,NA
NA,".",NA,NA
"100819818","LOC100819818","GLYMA_11G178300","calmodulin-binding receptor-like cytoplasmic kinase 2"
"100787739","LOC100787739","GLYMA_04G075800","uncharacterized LOC100787739"
NA,".",NA,NA
NA,".",NA,NA
"100779437","LOC100779437","GLYMA_07G102400","protein C2-DOMAIN ABA-RELATED 4"
"100784908","LOC100784908","GLYMA_11G109800","uncharacterized LOC100784908"
NA,".",NA,NA
"106795504","LOC106795504","GLYMA_13G208700","uncharacterized LOC106795504"
"100816232","LOC100816232","GLYMA_18G236700","probable polygalacturonase"
"100790989","LOC100790989","GLYMA_15G258100","LOB domain-containing protein 4-like"
NA,".",NA,NA
NA,".",NA,NA
NA,".",NA,NA
NA,".",NA,NA
NA,".",NA,NA
"100801386","LOC100801386","GLYMA_13G355000","ABC transporter G family member 36"
"100813627","LOC100813627","GLYMA_12G215000","thioredoxin-like protein CXXS1-like"
"100306554","LOC100306554","GLYMA_04G020300","plastocyanin"
"100815756","LOC100815756","GLYMA_05G169100","11S globulin seed storage protein 1"
NA,".",NA,NA
NA,".",NA,NA
NA,".",NA,NA
NA,".",NA,NA
"100790504","LOC100790504","GLYMA_01G023600","kinesin-like protein KIN-14B"
"100784166","LOC100784166","GLYMA_02G029200","protein JINGUBANG"
"100793120","LOC100793120","GLYMA_08G093200","type IV inositol polyphosphate 5-phosphatase 9"
NA,".",NA,NA
NA,".",NA,NA
"100782266","CRK70","GLYMA_20G137900, GmCRK70","cysteine-rich receptor-like protein kinase"
NA,".",NA,NA
"100805180","LOC100805180","GLYMA_10G284400","serine/threonine-protein kinase STY46"
"21898","SCA1","Lps, Ly87, Ran/M1, Rasl2-8","toll-like receptor 4"
"100812612","LOC100812612","GLYMA_07G098500","heavy metal-associated isoprenylated plant protein 47"
"100797211","LOC100797211","GLYMA_10G204100","lysine histidine transporter-like 6"
NA,".",NA,NA
"100812261","LOC100812261","GLYMA_16G111700","glutamate receptor 3.6"
"100799838","LOC100799838","GLYMA_17G011600","S-type anion channel SLAH4"
NA,".",NA,NA
"100815770","LOC100815770","GLYMA_06G075500","ubiquitin carboxyl-terminal hydrolase 26"
NA,".",NA,NA
"100815312","LOC100815312","GLYMA_17G230600","probable protein phosphatase 2C 72"
"100776335","LOC100776335","GLYMA_10G291400","caffeoylshikimate esterase"
"100306181","LOC100306181","GLYMA_20G129900","BSP domain-containing protien"
"100499653","LOC100499653","GLYMA_06G259800","TIR-NBS-LRR type disease resistance protein"
"113001185","LOC100785433","","TMV resistance protein N-like"
"102662356","LOC102662356","GLYMA_10G052800","uncharacterized LOC102662356"
NA,".",NA,NA
"100809258","LOC100809258","GLYMA_02G195400","syntaxin-121"
"100783382","LOC100783382","GLYMA_07G086500","kinesin-like protein KIN-13B"
"100807677","LOC100807677","GLYMA_18G017500","uncharacterized LOC100807677"
NA,".",NA,NA
NA,".",NA,NA
"100792830","LOC100792830","GLYMA_18G020600","uncharacterized LOC100792830"
NA,".",NA,NA
NA,".",NA,NA
"100793498","LOC100793498","GLYMA_02G264200","U-box domain-containing protein 1"
"100780762","LOC100780762","GLYMA_10G124300","uncharacterized LOC100780762"
"100500210","LOC100500210","GLYMA_13G250700","uncharacterized LOC100500210"
"100800017","LOC100800017","GLYMA_17G064900","probable xyloglucan endotransglucosylase/hydrolase protein 23-like"
"106794537","LOC100809077","","uncharacterized LOC106794537"
"547630","LOC547630","GLYMA_09G004400","adenosine 5'-phosphosulfate reductase"
"100787772","LOC100787772","GLYMA_13G219900","transcription factor TCP2"
NA,".",NA,NA
"100810449","LOC100810449","GLYMA_07G190100","F-box protein At1g61340"
NA,".",NA,NA
"100789223","LOC100789223","GLYMA_14G217900","filament-like plant protein 4"
"100809557","LOC100809557","GLYMA_13G069800","senescence-associated carboxylesterase 101"
NA,".",NA,NA
NA,".",NA,NA
NA,".",NA,NA
NA,".",NA,NA
"100820578","LOC100820578","GLYMA_06G316600","E3 ubiquitin protein ligase RIN2"
"100810127","LOC100810127","GLYMA_08G150800","uroporphyrinogen-III C-methyltransferase"
"100808791","LOC100808791","GLYMA_12G042400","glucose-1-phosphate adenylyltransferase large subunit 1"
"100527578","LOC100527578","GLYMA_18G005000","uncharacterized LOC100527578"
NA,".",NA,NA
"100809943","LOC100809943","GLYMA_08G364000","T-complex protein 1 subunit zeta 1"
"112999626","LOC112999626","GLYMA_15G249800","VQ motif-containing protein 1"
NA,".",NA,NA
"102660194","LOC102660194","GLYMA_11G163100","senescence associated gene 20"
NA,".",NA,NA
NA,".",NA,NA
"100804903","LOC100804903","GLYMA_05G035000","nucleobase-ascorbate transporter 6"
NA,".",NA,NA
"100818119","LOC100818119","GLYMA_15G115600","cytochrome b561 and DOMON domain-containing protein At5g47530"
"100807570","LOC100807570","GLYMA_20G224700","transcription factor UNE12"
"100806032","LOC100806032","GLYMA_15G092500","transcription factor TCP2"
NA,".",NA,NA
NA,".",NA,NA
NA,".",NA,NA
"100788877","LOC100788877","GLYMA_07G249900","uncharacterized LOC100788877"
"100784859","LOC100784859","","uncharacterized LOC100784859"
"100812131","LOC100812131","GLYMA_18G271500","receptor-like protein kinase ANXUR2"
NA,".",NA,NA
"100305781","GLYI-17","GLYMA_12G167400, GmGLYI-17","putative lactoylglutathione lyase"
"100795131","LOC100795131","GLYMA_04G078100","uncharacterized LOC100795131"
"100791253","LOC100791253","GLYMA_18G260700","probable calcium-binding protein CML46"
"100782104","LOC100782104","GLYMA_13G095200","probable xyloglucan endotransglucosylase/hydrolase protein 23"
"100782656","LOC100782656","GLYMA_13G058400","membrane-anchored ubiquitin-fold protein 1"
