"id","group","expression","uid","gene_id","gene_name","alias","desc"
11154,"t20","up",NA,"MSTRG.3822",".",NA,NA
2412,"t20","up",NA,"MSTRG.769",".",NA,NA
18500,"t20","up","100811437","MSTRG.6394","LOC100811437","GLYMA_04G053300","aminopeptidase M1"
26998,"t20","up","100813636","MSTRG.9103","LOC100813636","GLYMA_05G168400","ferredoxin-A"
74485,"t20","up",NA,"MSTRG.25145",".",NA,NA
54505,"t20","up",NA,"MSTRG.18541",".",NA,NA
4553,"t20","up",NA,"MSTRG.1521",".",NA,NA
24923,"t20","up",NA,"MSTRG.8473",".",NA,NA
22314,"t20","up","100820369","MSTRG.7530","LOC100820369","GLYMA_04G225500","protein RESPONSE TO LOW SULFUR 3"
44869,"t20","up","100305767","MSTRG.15338","LOC100305767","GLYMA_08G158100","uncharacterized LOC100305767"
82897,"t20","up","100784972","MSTRG.28235","LOC100784972","GLYMA_14G099200","thermospermine synthase ACAULIS5"
112557,"t20","up",NA,"MSTRG.38054",".",NA,NA
17848,"t20","up","41640","MSTRG.6126","41640","Dmel_CG8790, BcDNA:GH02431, CG8790, DmDic1p, Dmel\CG8790","Dicarboxylate carrier 1"
25219,"t20","up","100800632","MSTRG.8531","LOC100800632","GLYMA_05G082200","probable disease resistance protein At5g66900"
43067,"t20","up","100784637","MSTRG.14668","LOC100784637","GLYMA_08G074200","J domain-containing protein"
31765,"t20","up","100813653","MSTRG.10891","LOC100813653","GLYMA_06G139300","protein RESPONSE TO LOW SULFUR 3"
32731,"t20","up",NA,"MSTRG.11240",".",NA,NA
8167,"t20","up",NA,"MSTRG.2826",".",NA,NA
88061,"t20","up","100799978","MSTRG.29884","LOC100799978","GLYMA_15G108700","5'-adenylylsulfate reductase 3, chloroplastic"
587,"t20","up",NA,"MSTRG.256",".",NA,NA
51320,"t20","up","102665230","MSTRG.17477","LOC102665230","GLYMA_09G098400v4","BTB/POZ and TAZ domain-containing protein 1-like"
13686,"t20","up","100792313","MSTRG.4614","LOC100792313","GLYMA_03G085500","GTP cyclohydrolase 1"
80328,"t20","up","100799244","MSTRG.27282","LOC100799244","GLYMA_13G354100","auxin-responsive protein IAA26"
66880,"t20","up","100306576","MSTRG.22815","LOC100306576","GLYMA_11G236500","uncharacterized LOC100306576"
86670,"t20","up",NA,"MSTRG.29368",".",NA,NA
74396,"t20","up","100813471","MSTRG.25115","LOC100813471","GLYMA_13G084000","putative nitrate reductase 1"
92033,"t20","up","100802677","MSTRG.31113","LOC100802677","GLYMA_16G022400","calcium-binding protein KIC"
73914,"t20","up","100782656","MSTRG.24941","LOC100782656","GLYMA_13G058400","membrane-anchored ubiquitin-fold protein 1"
92956,"t20","up",NA,"MSTRG.31488",".",NA,NA
115943,"t20","up","100794625","MSTRG.39108","LOC100794625","GLYMA_20G125000","uncharacterized LOC100794625"
95255,"t20","up","100527669","MSTRG.32154","LOC100527669","GLYMA_16G177900","uncharacterized LOC100527669"
