"gene_name","glyma","desc"
".",NA,NA
".",NA,NA
"LOC100803911","GLYMA_01G103500","auxin response factor 9"
"IF7GT3","GLYMA_16G175200, GmIF7GT3","isoflavone 7-O-glucosyltransferase UGT3"
".",NA,NA
"LOC121174643","","receptor-like serine/threonine-protein kinase At2g45590"
"LOC100306090","GLYMA_11G098100","uncharacterized LOC100306090"
"LOC100794894","GLYMA_09G069000","MOB kinase activator-like 1A"
"LOC100790297","GLYMA_14G131300","glucan endo-1,3-beta-glucosidase 5"
"LOC100796676","GLYMA_10G083500","uncharacterized LOC100796676"
".",NA,NA
"BOR2","YGL013C, AMY1, ANT1, BOR2, CYH3, NRA2, SMR2, TIL1, TPE1, TPE3","drug-responsive transcription factor PDR1"
"LOC100527721","GLYMA_11G060500","uncharacterized LOC100527721"
"LOC100775553","GLYMA_08G175400","nicotianamine synthase"
".",NA,NA
".",NA,NA
"LOC100798340","GLYMA_12G109500","probable protein phosphatase 2C 52"
"LOC100779051","GLYMA_05G009000","early nodulin-93"
"LOC100776345","GLYMA_03G178000","40S ribosomal protein S23-like"
".",NA,NA
"LOC100807371","GLYMA_12G029900","uncharacterized LOC100807371"
"LOC100802677","GLYMA_16G022400","calcium-binding protein KIC"
"LOC100792961","GLYMA_01G208600","uncharacterized LOC100792961"
"LOC100820292","GLYMA_17G117100","early nodulin-93-like"
"LOC106799481","","uncharacterized LOC106799481"
"LOC100306683","GLYMA_17G117200","uncharacterized LOC100306683"
"LOC100305477","GLYMA_03G180700","V-type proton ATPase subunit G-like protein"
"LOC100798019","GLYMA_06G134900","small heat shock protein, chloroplastic-like"
"LOC100794625","GLYMA_20G125000","uncharacterized LOC100794625"
".",NA,NA
"LOC100783654","GLYMA_03G026000","uncharacterized LOC100783654"
"LOC100801043","GLYMA_07G053200","serine/arginine-rich splicing factor RS31"
"LOC100784666","GLYMA_01G061500","serine/threonine-protein kinase dst1"
".",NA,NA
"LOC100775182","GLYMA_08G004800","alcohol dehydrogenase"
"LOC100796470","GLYMA_17G008400","E3 ubiquitin-protein ligase UPL5"
".",NA,NA
"LOC100500345","GLYMA_11G235000","uncharacterized LOC100500345"
"LOC100807247","GLYMA_07G257700","stem-specific protein TSJT1"
"SACPD-C","GLYMA_14G121400, FAB2.3","stearoyl-ACP desaturase"
"LOC100800060","GLYMA_03G116200","hydroquinone glucosyltransferase"
"LOC100817130","GLYMA_18G132500","probable inactive purple acid phosphatase 1"
"LOC100777720","GLYMA_10G057800","uncharacterized LOC100777720"
"LOC100778024","GLYMA_14G096700","glutaredoxin-C6"
".",NA,NA
".",NA,NA
".",NA,NA
"SHOOT2","GLYMA_19G190000","SHOOT2 protein"
".",NA,NA
"LOC100812234","GLYMA_07G270900","START domain-containing protein 10"
".",NA,NA
".",NA,NA
".",NA,NA
".",NA,NA
"ALMT34","GLYMA_20G216800, GmALMT34","aluminum-activated malate transporter family protein"
"LOC100788955","GLYMA_10G295400","2-isopropylmalate synthase 2, chloroplastic"
".",NA,NA
"C4H1","","cinnamate 4-hydroxylase CYP73"
"BZIP71","GLYMA_06G040400","transcription factor bZIP71"
"LOC102665617","GLYMA_11G022400","brassinosteroid-responsive RING protein 1"
".",NA,NA
"LOC100815403","GLYMA_12G200800","uncharacterized LOC100815403"
"LOC100801545","GLYMA_05G133100","E3 ubiquitin-protein ligase UPL1"
"LOC100527371","GLYMA_19G213100","uncharacterized LOC100527371"
"LOC100786490","GLYMA_19G046300","LOB domain-containing protein 41"
"LOC100779626","GLYMA_15G152000","ethylene-responsive transcription factor RAP2-3"
".",NA,NA
"LOC100816661","GLYMA_13G149700","putative mediator of RNA polymerase II transcription subunit 26"
".",NA,NA
"LOC100791586","GLYMA_02G149900","RNA demethylase ALKBH10B"
".",NA,NA
".",NA,NA
".",NA,NA
".",NA,NA
".",NA,NA
".",NA,NA
".",NA,NA
"LOC100803679","GLYMA_06G105900, ACCase-A","acetyl-CoA carboxylase 1"
".",NA,NA
"LOC100781661","GLYMA_02G287000","peroxisomal and mitochondrial division factor 2"
".",NA,NA
"LOC100811997","GLYMA_20G098400","calreticulin"
"LOC100803651","GLYMA_12G195700","histone-lysine N-methyltransferase ATXR2"
"LOC100777575","","cyprosin-like"
".",NA,NA
".",NA,NA
".",NA,NA
"LOC100782328","GLYMA_15G039700","ubiquitin-conjugating enzyme E2 7"
"LOC100803056","GLYMA_10G089200","actin-related protein 7"
"LOC100794816","GLYMA_05G222400","1-aminocyclopropane-1-carboxylate oxidase 1"
"LOC100807188","GLYMA_12G061400","ATP-dependent zinc metalloprotease FTSH 10, mitochondrial"
"LOC100801918","GLYMA_06G122600","alcohol dehydrogenase 1"
"LOC100803038","GLYMA_17G238200","probable isoaspartyl peptidase/L-asparaginase 2"
".",NA,NA
"LOC100775486","GLYMA_05G048500","zinc finger protein SHOOT GRAVITROPISM 5"
"LOC100810689","GLYMA_17G083200","H/ACA ribonucleoprotein complex subunit 2-like protein"
"LOC100803278","GLYMA_11G231400","RING-H2 finger protein ATL66"
"PPCK2","AT1G08650, ATPPCK1, PHOSPHOENOLPYRUVATE CARBOXYLASE KINASE, PHOSPHOENOLPYRUVATE CARBOXYLASE KINASE 1, phosphoenolpyruvate carboxylase kinase 1","phosphoenolpyruvate carboxylase kinase 1"
"LOC100779467","GLYMA_16G062000","kelch repeat-containing protein At3g27220"
"LOC100809325","GLYMA_20G012000","tRNase Z TRZ1"
"LOC100811105","GLYMA_19G231600","protein SREK1IP1"
".",NA,NA
".",NA,NA
".",NA,NA
".",NA,NA
"LOC112935895","GLYMA_11G250400v4","REF/SRPP-like protein"
"LOC100305771","GLYMA_13G301400","uncharacterized LOC100305771"
"LOC100799771","GLYMA_06G121500","transcriptional corepressor SEUSS"
"LOC100808961","GLYMA_04G189600","serine/threonine-protein kinase AFC2"
"LOC102663438","GLYMA_07G040000","uncharacterized LOC102663438"
"LOC100809811","GLYMA_18G011100","E3 ubiquitin-protein ligase AIRP2"
".",NA,NA
"LOC100500459","GLYMA_05G068500v4","FCS-like zinc-finger domain-containing protein"
".",NA,NA
".",NA,NA
".",NA,NA
".",NA,NA
"LOC111138523","GLYMA_13G115900","RING/U-box superfamily protein"
".",NA,NA
